"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","276","testDirectAccessWithoutLogin","Local Development Suite","Thu Feb 19 00:03:39 UTC 2026","passed","Thu Feb 19 00:03:39 UTC 2026","com.framework.tests.DashboardTest","Web - Smoke & Regression","com.framework.tests.DashboardTest","testDirectAccessWithoutLogin"
"","72481","testAddAndRemoveItem","Local Development Suite","Thu Feb 19 00:03:50 UTC 2026","passed","Thu Feb 19 00:05:02 UTC 2026","com.framework.tests.AddToCartTest","Web - Smoke & Regression","com.framework.tests.AddToCartTest","testAddAndRemoveItem"
"","13373","testRawSeleniumLaunch","Local Development Suite","Thu Feb 19 00:03:21 UTC 2026","passed","Thu Feb 19 00:03:35 UTC 2026","com.framework.tests.SanityTest","Sanity","com.framework.tests.SanityTest","testRawSeleniumLaunch"
"","519","testUserCanAccessDashboard","Local Development Suite","Thu Feb 19 00:03:41 UTC 2026","passed","Thu Feb 19 00:03:42 UTC 2026","com.framework.tests.DashboardTest","Web - Smoke & Regression","com.framework.tests.DashboardTest","testUserCanAccessDashboard"
"","5543","testUserCanAccessDashboard","Local Development Suite","Thu Feb 19 00:03:44 UTC 2026","passed","Thu Feb 19 00:03:49 UTC 2026","com.framework.tests.DashboardTest","Web - Smoke & Regression","com.framework.tests.DashboardTest","testUserCanAccessDashboard"
"","565","testLockedOutUser","Local Development Suite","Thu Feb 19 00:03:36 UTC 2026","passed","Thu Feb 19 00:03:37 UTC 2026","com.framework.tests.LoginTest","Web - Smoke & Regression","com.framework.tests.LoginTest","testLockedOutUser"
"","777","testEmptyCredentials","Local Development Suite","Thu Feb 19 00:03:35 UTC 2026","passed","Thu Feb 19 00:03:35 UTC 2026","com.framework.tests.LoginTest","Web - Smoke & Regression","com.framework.tests.LoginTest","testEmptyCredentials"
"","513","testUserCanAccessDashboard","Local Development Suite","Thu Feb 19 00:03:42 UTC 2026","passed","Thu Feb 19 00:03:43 UTC 2026","com.framework.tests.DashboardTest","Web - Smoke & Regression","com.framework.tests.DashboardTest","testUserCanAccessDashboard"
"","41550","testAddBackpackToCart","Local Development Suite","Thu Feb 19 00:05:03 UTC 2026","passed","Thu Feb 19 00:05:45 UTC 2026","com.framework.tests.AddToCartTest","Web - Smoke & Regression","com.framework.tests.AddToCartTest","testAddBackpackToCart"
"","623","testAddMultipleItemsToCart","Local Development Suite","Thu Feb 19 00:05:45 UTC 2026","passed","Thu Feb 19 00:05:46 UTC 2026","com.framework.tests.AddToCartTest","Web - Smoke & Regression","com.framework.tests.AddToCartTest","testAddMultipleItemsToCart"
"","41274","testNavigateToCheckout","Local Development Suite","Thu Feb 19 00:05:47 UTC 2026","passed","Thu Feb 19 00:06:28 UTC 2026","com.framework.tests.AddToCartTest","Web - Smoke & Regression","com.framework.tests.AddToCartTest","testNavigateToCheckout"
"","781","testLogoutFlow","Local Development Suite","Thu Feb 19 00:03:40 UTC 2026","passed","Thu Feb 19 00:03:40 UTC 2026","com.framework.tests.DashboardTest","Web - Smoke & Regression","com.framework.tests.DashboardTest","testLogoutFlow"
"","578","testValidLogin","Local Development Suite","Thu Feb 19 00:03:37 UTC 2026","passed","Thu Feb 19 00:03:38 UTC 2026","com.framework.tests.LoginTest","Web - Smoke & Regression","com.framework.tests.LoginTest","testValidLogin"
